Date,Time,Conductivity,Temperature,Distance to vent,Water depth,Slope,Backscatter intensity,Chlorophyll,Dissolved O2 concentration,pH,Turbidity,Specific conductivity,Dissolved O2 saturation,Density anomaly,Site,Spherical sea cucumber total area,Anemone count,Red shrimp total area,Coral total area,Tubeworm total area,Thick sea cucumber total area,Red shrimp mean area,Thick sea cucumber count,Dead mussel total area,Williams galatheid crab count,Chiridota mean area,Spherical sea cucumber count,Mimic snail count,Anemone total area,Coral mean area,Tubeworm mean area,Thick sea cucumber mean area,Mussel mean area,Mimic snail mean area,Dead mussel count,Coral count,Red shrimp count,Mussel total area,Anemone mean area,Fish total area,Fish mean area,Fish count,Chiridota total area,Spherical sea cucumber mean area,Williams galatheid crab total area,Tubeworm count,Dead mussel mean area,Mimic snail total area,Mussel count,Chiridota count,Williams galatheid crab mean area
20250511,8:22:33,3.18659,2.846,4.1,-1515.963867,1.092511773,-24.55838585,0,0,0,0,0,0,0,Ice Valley,0,1,0,0,0,0,0,0,0,0,0,0,0,0.001221,0,0,0,0,0,0,0,0,0,0.001221,0,0,0,0,0,0,0,0,0,0,0,0
20250511,8:22:41,3.18674,2.8556,4.3,-1515.964233,1.064158559,-24.55838585,0,0,0,0,0,0,0,Ice Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250511,8:22:49,3.18688,2.8506,4.5,-1515.976074,1.244724154,-24.56640816,0,0,0,0,0,0,0,Ice Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250511,8:22:57,3.18699,2.85,4.2,-1515.976074,1.244724154,-24.56640816,0,0,0,0,0,0,0,Ice Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250511,8:23:05,3.18714,2.8511,4.1,-1515.989746,1.785327673,-24.56865883,0,0,0,0,0,0,0,Ice Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20250511,8:23:13,3.18701,2.854,3.9,-1516.007813,2.575356007,-24.57450676,0,0,0,0,0,0,0,Ice Valley,0,1,0,0,0,0,0,0,0,0,0,0,0,0.001795,0,0,0,0,0,0,0,0,0,0.001795,0,0,0,0,0,0,0,0,0,0,0,0
20250511,8:23:21,3.1871,2.8503,3.7,-1516.038086,3.625925303,-24.57685661,0,0,0,0,0,0,0,Ice Valley,0,1,0,0,0,0,0,0,0.005344,0,0,0,0,0.001636,0,0,0,0,0,1,0,0,0,0.001636,0,0,0,0,0,0,0,0.005344,0,0,0,0
20250511,8:23:29,3.18736,2.8596,3.6,-1516.038086,3.625925303,-24.57929611,0,0,0,0,0,0,0,Ice Valley,0,1,0,0,0,0,0,0,0.005924,0,0,0,0,0.001767,0,0,0,0,0,1,0,0,0,0.001767,0,0,0,0,0,0,0,0.005924,0,0,0,0
20250511,8:23:37,3.18693,2.8523,3.5,-1516.106812,4.293950081,-24.58512115,0,0,0,0,0,0,0,Ice Valley,0,2,0,0,0,0,0,0,0,0,0,0,0,0.004137,0,0,0,0,0,0,0,0,0,0.002069,0,0,0,0,0,0,0,0,0,0,0,0
20250511,8:23:45,3.18676,2.8497,3.5,-1516.106812,4.293950081,-24.56523323,0,0,0,0,0,0,0,Ice Valley,0,3,0,0,0,0,0,0,0.006408,0,0,0,0,0.004217,0,0,0,0,0,1,0,0,0,0.001406,0,0,0,0,0,0,0,0.006408,0,0,0,0
20250511,8:23:53,3.18634,2.8467,3.5,-1516.178833,4.468523979,-24.57135963,0,0,0,0,0,0,0,Ice Valley,0,1,0,0,0,0,0,0,0.007161,0,0,0,0,0.001527,0,0,0,0,0,1,0,0,0,0.001527,0,0,0,0,0,0,0,0.007161,0,0,0,0
